"Category","Metric","Value"
"Overview","Total_DEGs","7581"
"Overview","Upregulated_DEGs","3721"
"Overview","Downregulated_DEGs","3860"
"Overview","Total_genebody_DMRs","17783"
"Overview","Total_promoter_DMRs","5827"
"Overview","Genes_with_genebody_DMRs","7631"
"Overview","Genes_with_promoter_DMRs","3771"
"GeneBody_AllGenes","N_genes","6364"
"GeneBody_AllGenes","Pearson_r","0.0813"
"GeneBody_AllGenes","Pearson_pvalue","8.32e-11"
"GeneBody_AllGenes","Spearman_rho","0.0632"
"GeneBody_AllGenes","Spearman_pvalue","4.45e-07"
"GeneBody_DEGs","N_genes","1544"
"GeneBody_DEGs","Pearson_r","0.1548"
"GeneBody_DEGs","Pearson_pvalue","9.76e-10"
"GeneBody_DEGs","Spearman_rho","0.1545"
"GeneBody_DEGs","Spearman_pvalue","1.04e-09"
"GeneBody_Upregulated","N_genes","697"
"GeneBody_Upregulated","Pearson_r","-0.0077"
"GeneBody_Upregulated","Pearson_pvalue","8.4e-01"
"GeneBody_Upregulated","Spearman_rho","-0.0481"
"GeneBody_Upregulated","Spearman_pvalue","2.05e-01"
"GeneBody_Downregulated","N_genes","847"
"GeneBody_Downregulated","Pearson_r","0.1836"
"GeneBody_Downregulated","Pearson_pvalue","7.35e-08"
"GeneBody_Downregulated","Spearman_rho","0.1806"
"GeneBody_Downregulated","Spearman_pvalue","1.22e-07"
"Promoter_AllGenes","N_genes","3282"
"Promoter_AllGenes","Pearson_r","0.0649"
"Promoter_AllGenes","Pearson_pvalue","2e-04"
"Promoter_AllGenes","Spearman_rho","0.0396"
"Promoter_AllGenes","Spearman_pvalue","2.32e-02"
"Promoter_DEGs","N_genes","710"
"Promoter_DEGs","Pearson_r","0.1423"
"Promoter_DEGs","Pearson_pvalue","1.42e-04"
"Promoter_DEGs","Spearman_rho","0.1218"
"Promoter_DEGs","Spearman_pvalue","1.15e-03"
"Promoter_Upregulated","N_genes","325"
"Promoter_Upregulated","Pearson_r","0.0336"
"Promoter_Upregulated","Pearson_pvalue","5.46e-01"
"Promoter_Upregulated","Spearman_rho","0.0446"
"Promoter_Upregulated","Spearman_pvalue","4.23e-01"
"Promoter_Downregulated","N_genes","385"
"Promoter_Downregulated","Pearson_r","0.0996"
"Promoter_Downregulated","Pearson_pvalue","5.07e-02"
"Promoter_Downregulated","Spearman_rho","0.1474"
"Promoter_Downregulated","Spearman_pvalue","3.75e-03"
"GeneBody_Direction","Hypermethylated_Downregulated","716"
"GeneBody_Direction","Hypermethylated_Upregulated","642"
"GeneBody_Direction","Hypomethylated_Downregulated","118"
"GeneBody_Direction","Hypomethylated_Upregulated","52"
"GeneBody_Direction","NoChange_Downregulated","13"
"GeneBody_Direction","NoChange_Upregulated","3"
"GeneBody_Direction","Pct_Hypermethylated_Down","52.7%"
"GeneBody_Direction","Pct_Hypermethylated_Up","47.3%"
"GeneBody_Direction","Pct_Hypomethylated_Down","69.4%"
"GeneBody_Direction","Pct_Hypomethylated_Up","30.6%"
"GeneBody_Direction","Fisher_OR","0.492"
"GeneBody_Direction","Fisher_pvalue","3.95e-05"
"Promoter_Direction","Hypermethylated_Downregulated","361"
"Promoter_Direction","Hypermethylated_Upregulated","321"
"Promoter_Direction","Hypomethylated_Downregulated","22"
"Promoter_Direction","Hypomethylated_Upregulated","4"
"Promoter_Direction","Pct_Hypermethylated_Down","52.9%"
"Promoter_Direction","Pct_Hypermethylated_Up","47.1%"
"GeneBody_MethByExpr","N_Downregulated","847"
"GeneBody_MethByExpr","Mean_logFC_Downregulated","3.5578"
"GeneBody_MethByExpr","Median_logFC_Downregulated","4.7927"
"GeneBody_MethByExpr","N_Unchanged","4820"
"GeneBody_MethByExpr","Mean_logFC_Unchanged","4.1288"
"GeneBody_MethByExpr","Median_logFC_Unchanged","5.0536"
"GeneBody_MethByExpr","N_Upregulated","697"
"GeneBody_MethByExpr","Mean_logFC_Upregulated","4.2717"
"GeneBody_MethByExpr","Median_logFC_Upregulated","5.4235"
"GeneBody_MethByExpr","Wilcoxon_Up_vs_Down_pvalue","4.91e-07"
"Promoter_MethByExpr","N_Downregulated","385"
"Promoter_MethByExpr","Mean_logFC_Downregulated","4.37"
"Promoter_MethByExpr","N_Unchanged","2572"
"Promoter_MethByExpr","Mean_logFC_Unchanged","4.6163"
"Promoter_MethByExpr","N_Upregulated","325"
"Promoter_MethByExpr","Mean_logFC_Upregulated","4.8464"
"Comparison","DEGs_with_genebody_DMRs","1544"
"Comparison","Upregulated_with_genebody_DMRs","697"
"Comparison","Downregulated_with_genebody_DMRs","847"
"Comparison","Pct_DEGs_with_genebody_DMRs","20.4%"
"Comparison","DEGs_with_promoter_DMRs","710"
"Comparison","Pct_DEGs_with_promoter_DMRs","9.4%"
